date,hour,project,access_mode,total_views,top_1_views,top_10_views,top_100_views,top_1_share,top_10_share,top_100_share
2026-01-02,5,en,desktop,4322750,179155.0,393546.0,473624.0,0.04144468220461512,0.09104065698918512,0.10956543866751489
2026-01-02,5,en,mobile,7312263,92760.0,290048.0,665209.0,0.012685539346711135,0.03966596934492099,0.09097170055289314
2026-01-02,5,vi,desktop,22169,525.0,999.0,2028.0,0.02368171771392485,0.04506292570706843,0.09147909242636114
2026-01-02,5,vi,mobile,44786,689.0,2259.0,4896.0,0.015384271870673871,0.0504398696021078,0.10931987674719779
2026-01-02,5,wikidata,desktop,29921,906.0,1765.0,2718.0,0.03027973663981819,0.05898867016476722,0.09083920991945456
2026-01-02,6,commons,desktop,126373,2949.0,7695.0,10632.0,0.02333568088120089,0.06089117137363203,0.08413189526243739
2026-01-02,6,commons,mobile,50303,1193.0,2593.0,6414.0,0.023716279347156234,0.05154762141422977,0.1275073057272926
2026-01-02,6,en,desktop,4375963,191216.0,261921.0,328994.0,0.04369689597466889,0.05985448231623531,0.07518207992160811
2026-01-02,6,en,mobile,6602627,85784.0,236184.0,538142.0,0.01299240438692054,0.0357712165173044,0.08150422551508665
2026-01-02,6,vi,desktop,18350,486.0,849.0,1706.0,0.0264850136239782,0.04626702997275205,0.0929700272479564
2026-01-02,6,vi,mobile,52241,892.0,2807.0,6071.0,0.017074711433548363,0.053731743266782796,0.11621140483528264
2026-01-02,6,wikidata,desktop,27663,813.0,1771.0,2602.0,0.029389437154321657,0.06402053284170191,0.0940606586415067
2026-01-02,7,commons,desktop,146732,2903.0,7347.0,10370.0,0.01978436878117929,0.05007087751819644,0.07067306381702695
2026-01-02,7,commons,mobile,48087,1176.0,2635.0,6974.0,0.02445567409071059,0.054796514650529246,0.14502880196310852
2026-01-02,7,en,desktop,4237550,192766.0,232782.0,289237.0,0.04548996472018029,0.05493315713088931,0.06825571379688736
2026-01-02,7,en,mobile,5639354,78222.0,170426.0,392705.0,0.013870737676691338,0.030220837351228526,0.06963652219740063
2026-01-02,7,vi,desktop,21849,508.0,984.0,2052.0,0.023250492013364456,0.045036386104627214,0.09391734175477139
2026-01-02,7,vi,mobile,50016,839.0,2687.0,5702.0,0.01677463211772233,0.05372280870121561,0.11400351887396033
2026-01-02,7,wikidata,desktop,26422,1098.0,1888.0,2666.0,0.04155627885852699,0.0714556051775036,0.1009007645144198
2026-01-02,8,commons,desktop,174221,3051.0,7721.0,12118.0,0.017512240200664674,0.04431727518496622,0.06955533489074221
2026-01-02,8,commons,mobile,57920,1102.0,2650.0,6979.0,0.019026243093922653,0.045752762430939224,0.12049378453038674
2026-01-02,8,en,desktop,4352026,192886.0,232047.0,285336.0,0.04432096683245918,0.05331930461812499,0.06556394653892234
